author_id,id,label
12,u12,human
58,u58,human
59,u59,human
60,u60,human
76,u76,human
324,u324,human
1000,u1000,human
3526,u3526,human
5413,u5413,human
6958,u6958,human
10078,u10078,human
12831,u12831,human
25763,u25763,human
26853,u26853,human
30973,u30973,human
37563,u37563,human
79543,u79543,human
163233,u163233,human
167873,u167873,bot
652193,u652193,human
659933,u659933,human
661403,u661403,human
686573,u686573,human
709143,u709143,human
742143,u742143,human
744613,u744613,human
755113,u755113,human
756129,u756129,human
759251,u759251,human
763489,u763489,human
763893,u763893,human
765845,u765845,human
767396,u767396,human
772697,u772697,human
783214,u783214,human
794801,u794801,human
794815,u794815,human
795649,u795649,human
806133,u806133,human
807095,u807095,human
813286,u813286,human
813453,u813453,human
817062,u817062,human
823083,u823083,human
882601,u882601,human
905201,u905201,human
939091,u939091,human
1044241,u1044241,human
1112211,u1112211,human
1159251,u1159251,human
1222751,u1222751,human
1246421,u1246421,human
1314101,u1314101,human
1368571,u1368571,human
1670611,u1670611,human
1688351,u1688351,bot
1716121,u1716121,human
1769191,u1769191,human
1857421,u1857421,human
1877831,u1877831,human
1899161,u1899161,human
1940851,u1940851,bot
2182641,u2182641,human
2345021,u2345021,human
2400261,u2400261,human
2480951,u2480951,human
2518321,u2518321,human
2529971,u2529971,human
2816411,u2816411,human
2884771,u2884771,human
2919151,u2919151,human
3094891,u3094891,human
3108351,u3108351,human
3197361,u3197361,bot
3291691,u3291691,human
3343061,u3343061,bot
3365101,u3365101,human
3393521,u3393521,human
3439471,u3439471,human
3704391,u3704391,human
3906531,u3906531,human
4338481,u4338481,human
4366791,u4366791,bot
4390791,u4390791,human
4939401,u4939401,human
5383942,u5383942,human
5399142,u5399142,human
5402612,u5402612,human
5404442,u5404442,human
5408622,u5408622,human
5750832,u5750832,human
5776022,u5776022,human
5817372,u5817372,human
5911892,u5911892,human
5932762,u5932762,human
5972702,u5972702,human
5988912,u5988912,human
6081842,u6081842,human
6096152,u6096152,human
6182852,u6182852,human
6186292,u6186292,human
6334772,u6334772,bot
6392972,u6392972,human
6430402,u6430402,bot
6508432,u6508432,human
6535212,u6535212,human
6539592,u6539592,human
6549332,u6549332,human
6819732,u6819732,human
7025662,u7025662,human
7085652,u7085652,human
7102662,u7102662,human
7119702,u7119702,human
7138382,u7138382,human
7144422,u7144422,human
7202792,u7202792,human
7266412,u7266412,human
7304182,u7304182,human
7426632,u7426632,human
7434272,u7434272,human
7450112,u7450112,human
7537892,u7537892,human
7587032,u7587032,human
7597362,u7597362,human
7626982,u7626982,human
7637292,u7637292,human
7712452,u7712452,human
7918722,u7918722,human
7994062,u7994062,human
8111452,u8111452,human
8128442,u8128442,human
8146692,u8146692,human
8198012,u8198012,human
8350912,u8350912,human
8383522,u8383522,human
8457092,u8457092,human
8479062,u8479062,human
8594952,u8594952,human
8612022,u8612022,human
8662382,u8662382,human
8724862,u8724862,human
8802752,u8802752,human
8922602,u8922602,bot
8932272,u8932272,human
9015512,u9015512,bot
9039652,u9039652,human
9128312,u9128312,human
9184682,u9184682,human
9207632,u9207632,human
9241622,u9241622,human
9274232,u9274232,bot
9274272,u9274272,human
9283012,u9283012,human
9289952,u9289952,human
9307792,u9307792,human
9313142,u9313142,bot
9475182,u9475182,human
9534522,u9534522,human
9604032,u9604032,human
9624132,u9624132,bot
9629072,u9629072,human
9655032,u9655032,human
9670742,u9670742,human
9720292,u9720292,human
9776092,u9776092,human
9893002,u9893002,human
9953752,u9953752,human
10022442,u10022442,human
10053692,u10053692,human
10078042,u10078042,human
10129132,u10129132,human
10264542,u10264542,human
10285352,u10285352,human
10486052,u10486052,human
10834752,u10834752,human
10973822,u10973822,human
11067002,u11067002,bot
11176182,u11176182,human
11177042,u11177042,human
11178672,u11178672,human
11253262,u11253262,human
11335142,u11335142,human
11347122,u11347122,human
11348282,u11348282,human
11518572,u11518572,human
11530192,u11530192,bot
11728992,u11728992,human
11735032,u11735032,human
11752272,u11752272,human
11833602,u11833602,human
12238092,u12238092,human
12257312,u12257312,bot
12340562,u12340562,human
12366502,u12366502,human
12413032,u12413032,human
12414242,u12414242,human
12425912,u12425912,human
12436452,u12436452,human
12513592,u12513592,human
12662202,u12662202,human
12746492,u12746492,human
12755622,u12755622,human
12795622,u12795622,bot
12822182,u12822182,bot
12901712,u12901712,human
12981872,u12981872,human
13084492,u13084492,bot
13434452,u13434452,bot
13475852,u13475852,human
13655672,u13655672,human
13678962,u13678962,human
13727002,u13727002,human
13745872,u13745872,human
13824412,u13824412,human
13834162,u13834162,human
13914392,u13914392,human
14055820,u14055820,human
14071770,u14071770,human
14075928,u14075928,human
14077382,u14077382,human
14093293,u14093293,human
14095344,u14095344,human
14103251,u14103251,human
14108832,u14108832,bot
14115912,u14115912,human
14120922,u14120922,human
14126475,u14126475,bot
14132188,u14132188,bot
14143782,u14143782,human
14149412,u14149412,bot
14150274,u14150274,human
14151850,u14151850,bot
14155907,u14155907,human
14156510,u14156510,bot
