id,split
u12,train
u58,train
u59,train
u60,train
u76,train
u324,train
u1000,train
u3526,train
u5413,train
u6958,train
u10078,train
u12831,train
u25763,train
u26853,train
u30973,train
u37563,train
u79543,train
u163233,train
u167873,train
u652193,train
u659933,train
u661403,train
u686573,val
u709143,train
u742143,train
u744613,train
u755113,train
u756129,train
u759251,train
u763489,train
u763893,train
u765845,train
u767396,train
u772697,train
u783214,train
u794801,train
u794815,train
u795649,train
u806133,train
u807095,train
u813286,train
u813453,train
u817062,train
u823083,train
u882601,train
u905201,train
u939091,train
u1044241,train
u1112211,test
u1159251,train
u1222751,train
u1246421,train
u1314101,train
u1368571,train
u1670611,train
u1688351,train
u1716121,train
u1769191,train
u1857421,train
u1877831,train
u1899161,train
u1940851,train
u2182641,train
u2345021,train
u2400261,train
u2480951,train
u2518321,train
u2529971,train
u2816411,train
u2884771,train
u2919151,train
u3094891,train
u3108351,train
u3197361,train
u3291691,train
u3343061,train
u3365101,train
u3393521,train
u3439471,train
u3704391,train
u3906531,train
u4338481,train
u4366791,train
u4390791,train
u4939401,train
u5383942,train
u5399142,train
u5402612,train
u5404442,train
u5408622,train
u5750832,train
u5776022,train
u5817372,train
u5911892,train
u5932762,train
u5972702,train
u5988912,train
u6081842,train
u6096152,train
u6182852,train
u6186292,train
u6334772,train
u6392972,train
u6430402,train
u6508432,train
u6535212,train
u6539592,train
u6549332,train
u6819732,train
u7025662,train
u7085652,test
u7102662,train
u7119702,train
u7138382,train
u7144422,train
u7202792,train
u7266412,train
u7304182,train
u7426632,train
u7434272,train
u7450112,train
u7537892,train
u7587032,train
u7597362,train
u7626982,train
u7637292,train
u7712452,train
u7918722,train
u7994062,train
u8111452,train
u8128442,train
u8146692,train
u8198012,train
u8350912,train
u8383522,train
u8457092,train
u8479062,train
u8594952,train
u8612022,train
u8662382,test
u8724862,train
u8802752,train
u8922602,train
u8932272,train
u9015512,train
u9039652,train
u9128312,test
u9184682,train
u9207632,train
u9241622,train
u9274232,train
u9274272,test
u9283012,test
u9289952,train
u9307792,train
u9313142,train
u9475182,train
u9534522,train
u9604032,train
u9624132,val
u9629072,train
u9655032,train
u9670742,train
u9720292,train
u9776092,train
u9893002,train
u9953752,train
u10022442,train
u10053692,train
u10078042,train
u10129132,train
u10264542,train
u10285352,train
u10486052,train
u10834752,train
u10973822,train
u11067002,train
u11176182,train
u11177042,train
u11178672,train
u11253262,train
u11335142,train
u11347122,train
u11348282,train
u11518572,train
u11530192,val
u11728992,train
u11735032,train
u11752272,train
u11833602,train
u12238092,train
u12257312,train
u12340562,train
u12366502,train
u12413032,train
u12414242,train
u12425912,train
u12436452,train
u12513592,train
u12662202,train
u12746492,train
u12755622,train
u12795622,train
u12822182,train
u12901712,train
u12981872,train
u13084492,val
u13434452,train
u13475852,train
u13655672,train
u13678962,train
u13727002,train
u13745872,train
u13824412,train
u13834162,train
u13914392,train
u14055820,train
u14071770,train
u14075928,train
u14077382,train
u14093293,train
u14095344,train
u14103251,train
u14108832,train
u14115912,train
u14120922,train
u14126475,train
u14132188,train
u14143782,test
u14149412,test
u14150274,test
u14151850,train
u14155907,train
u14156510,train
u14158301,train
u14166395,test
u14167540,train
u14176770,train
u14192174,train
u14196058,train
u14205757,train
u14207787,train
u14214987,val
u14216123,train
u14226315,train
u14227439,test
u14229400,train
u14230524,train
u14234136,train
u14238165,train
u14243046,train
u14249000,train
u14259237,train
u14265755,train
u14274428,train
u14275261,train
u14275851,val
u14277135,train
u14278978,train
u14293310,train
u14299324,train
u14310733,train
u14324215,train
u14328711,train
u14332898,train
u14333758,train
u14335235,test
u14335498,train
u14336304,train
u14337607,val
u14338147,train
u14341961,train
u14343009,test
u14344469,train
u14351515,train
u14360757,train
